LGA,Expend,Pop,Pop_rate
ALPINE,"1681082","10364",
ARARAT,"3978324","9777",
BALLARAT,"43713217","85891",
BANYULE,"42485588","103351",
BASS COAST,"13044200","29699",
BAW BAW,"12615877","41733",
BAYSIDE,"10227126","84052",
BOROONDARA,"13840602","146074",
BRIMBANK,"101974229","165279",
BULOKE,"0","4901",
CAMPASPE,"6756968","29724",
CARDINIA,"21286228","85551",
CASEY,"98000779","268065",
CENTRAL GOLDFIELDS,"5847242","10853",
COLAC OTWAY,"6219375","17065",
CORANGAMITE,"2097432","12495",
DAREBIN,"56942787","135619",
EAST GIPPSLAND,"19870190","38508",
FRANKSTON,"46303078","112322",
GANNAWARRA,"1573499","8405",
GLEN EIRA,"54025304","123025",
GLENELG,"5655412","15812",
GOLDEN PLAINS,"0","17723",
GREATER BENDIGO,"37393718","92151",
GREATER DANDENONG,"87430092","134847",
GREATER GEELONG,"88056044","207369",
GREATER SHEPPARTON,"24979551","51213",
HEPBURN,"2235539","13093",
HINDMARSH,"0","4500",
HOBSONS BAY,"34611659","76700",
HORSHAM,"7232445","15403",
HUME,"85935118","178459",
INDIGO,"0","13192",
KINGSTON,"62080321","131857",
KNOX,"53495581","130097",
LATROBE,"34583574","59674",
LODDON,"0","6089",
MACEDON RANGES,"6875014","38666",
MANNINGHAM,"40882840","103412",
MANSFIELD,"1141575","7245",
MARIBYRNONG,"42243208","78962",
MAROONDAH,"45231944","93351",
MELBOURNE,"60550927","176095",
MELTON,"51592385","123187",
MILDURA,"22534278","43495",
MITCHELL,"12790856","35880",
MOIRA,"3337832","23832",
MONASH,"80541623","166561",
MOONEE VALLEY,"57497774","105764",
MOORABOOL,"7396282","27324",
MORELAND,"45240804","154280",
MORNINGTON PENINSULA,"63053341","134636",
MOUNT ALEXANDER,"2150043","16332",
MOYNE,"0","13031",
MURRINDINDI,"1140441","12075",
NILLUMBIK,"7336417","49897",
NORTHERN GRAMPIANS,"3025948","9199",
OF BENALLA,"4484575","11478",
PORT PHILLIP,"21479124","102021",
PYRENEES,"0","6033",
QUEENSCLIFFE,"1081221","2563",
SOUTH GIPPSLAND,"5146149","23556",
SOUTHERN GRAMPIANS,"4657077","12707",
STONNINGTON,"14118285","102418",
STRATHBOGIE,"1065272","8891",
SURF COAST,"2960697","26002",
SWAN HILL,"5971315","16042",
TOWONG,"211211","4945",
WANGARATTA,"6958811","23109",
WARRNAMBOOL,"15064961","27563",
WELLINGTON,"17095751","35002",
WEST WIMMERA,"0","2987",
WHITEHORSE,"37533802","144210",
WHITTLESEA,"83730104","177660",
WODONGA,"6203089","32702",
WYNDHAM,"75755562","203152",
YARRA,"22747249","89622",
YARRA RANGES,"21194989","123642",
YARRIAMBIACK,"0","5258",
