LGA,Expend,Pop,Expend_rate,Pop_rate,Expop
ALPINE,1681082,10364,low,low,Priority 5
ARARAT,3978324,9777,low,low,Priority 5
BALLARAT,43713217,85891,medium,high,Priority 2
BANYULE,42485588,103351,medium,high,Priority 2
BASS COAST,13044200,29699,low,low,Priority 5
BAW BAW,12615877,41733,low,medium,Priority 4
BAYSIDE,10227126,84052,low,high,Priority 4
BOROONDARA,13840602,146074,low,high,Priority 4
BRIMBANK,101974229,165279,high,high,Priority 1
BULOKE,0,4901,null,low,null
CAMPASPE,6756968,29724,low,low,Priority 5
CARDINIA,21286228,85551,low,high,Priority 4
CASEY,98000779,268065,high,high,Priority 1
CENTRAL GOLDFIELDS,5847242,10853,low,low,Priority 5
COLAC OTWAY,6219375,17065,low,low,Priority 5
CORANGAMITE,2097432,12495,low,low,Priority 5
DAREBIN,56942787,135619,medium,high,Priority 2
EAST GIPPSLAND,19870190,38508,low,medium,Priority 4
FRANKSTON,46303078,112322,medium,high,Priority 2
GANNAWARRA,1573499,8405,low,low,Priority 5
GLEN EIRA,54025304,123025,medium,high,Priority 2
GLENELG,5655412,15812,low,low,Priority 5
GOLDEN PLAINS,0,17723,null,low,null
GREATER BENDIGO,37393718,92151,medium,high,Priority 2
GREATER DANDENONG,87430092,134847,medium,high,Priority 2
GREATER GEELONG,88056044,207369,medium,high,Priority 2
GREATER SHEPPARTON,24979551,51213,low,medium,Priority 4
HEPBURN,2235539,13093,low,low,Priority 5
HINDMARSH,0,4500,null,low,null
HOBSONS BAY,34611659,76700,medium,medium,Priority 3
HORSHAM,7232445,15403,low,low,Priority 5
HUME,85935118,178459,medium,high,Priority 2
INDIGO,0,13192,null,low,null
KINGSTON,62080321,131857,medium,high,Priority 2
KNOX,53495581,130097,medium,high,Priority 2
LATROBE,34583574,59674,medium,medium,Priority 3
LODDON,0,6089,null,low,null
MACEDON RANGES,6875014,38666,low,medium,Priority 4
MANNINGHAM,40882840,103412,medium,high,Priority 2
MANSFIELD,1141575,7245,low,low,Priority 5
MARIBYRNONG,42243208,78962,medium,medium,Priority 3
MAROONDAH,45231944,93351,medium,high,Priority 2
MELBOURNE,60550927,176095,medium,high,Priority 2
MELTON,51592385,123187,medium,high,Priority 2
MILDURA,22534278,43495,low,medium,Priority 4
MITCHELL,12790856,35880,low,medium,Priority 4
MOIRA,3337832,23832,low,low,Priority 5
MONASH,80541623,166561,medium,high,Priority 2
MOONEE VALLEY,57497774,105764,medium,high,Priority 2
MOORABOOL,7396282,27324,low,low,Priority 5
MORELAND,45240804,154280,medium,high,Priority 2
MORNINGTON PENINSULA,63053341,134636,medium,high,Priority 2
MOUNT ALEXANDER,2150043,16332,low,low,Priority 5
MOYNE,0,13031,null,low,null
MURRINDINDI,1140441,12075,low,low,Priority 5
NILLUMBIK,7336417,49897,low,medium,Priority 4
NORTHERN GRAMPIANS,3025948,9199,low,low,Priority 5
BENALLA,4484575,11478,low,low,Priority 5
PORT PHILLIP,21479124,102021,low,high,Priority 4
PYRENEES,0,6033,null,low,null
QUEENSCLIFFE,1081221,2563,low,low,Priority 5
SOUTH GIPPSLAND,5146149,23556,low,low,Priority 5
SOUTHERN GRAMPIANS,4657077,12707,low,low,Priority 5
STONNINGTON,14118285,102418,low,high,Priority 4
STRATHBOGIE,1065272,8891,low,low,Priority 5
SURF COAST,2960697,26002,low,low,Priority 5
SWAN HILL,5971315,16042,low,low,Priority 5
TOWONG,211211,4945,low,low,Priority 5
WANGARATTA,6958811,23109,low,low,Priority 5
WARRNAMBOOL,15064961,27563,low,low,Priority 5
WELLINGTON,17095751,35002,low,medium,Priority 4
WEST WIMMERA,0,2987,null,low,null
WHITEHORSE,37533802,144210,medium,high,Priority 2
WHITTLESEA,83730104,177660,medium,high,Priority 2
WODONGA,6203089,32702,low,low,Priority 5
WYNDHAM,75755562,203152,medium,high,Priority 2
YARRA,22747249,89622,low,high,Priority 4
YARRA RANGES,21194989,123642,low,high,Priority 4
YARRIAMBIACK,0,5258,null,low,null
